model_name,reasoning_effort,key,value
# Claude opus - has reasoning effort
claude-opus-4-6,high,has_reasoning_effort,true
claude-opus-4-6,high,intel,98
claude-opus-4-6,high,speed,40
claude-opus-4-6,high,reasoning,99
claude-opus-4-6,high,cost-type,subscription
claude-opus-4-6,high,context_window,200000
claude-opus-4-6,high,cost_per_1m_input,15.00
claude-opus-4-6,high,cost_per_1m_output,75.00
claude-opus-4-6,medium,has_reasoning_effort,true
claude-opus-4-6,medium,intel,95
claude-opus-4-6,medium,speed,60
claude-opus-4-6,medium,reasoning,95
claude-opus-4-6,medium,hallucination,8
claude-opus-4-6,medium,cost-type,subscription
claude-opus-4-6,medium,context_window,200000
claude-opus-4-6,medium,cost_per_1m_input,15.00
claude-opus-4-6,medium,cost_per_1m_output,75.00
claude-opus-4-6,low,has_reasoning_effort,true
claude-opus-4-6,low,intel,90
claude-opus-4-6,low,speed,80
claude-opus-4-6,low,reasoning,85
claude-opus-4-6,low,cost-type,subscription
claude-opus-4-6,low,context_window,200000
claude-opus-4-6,low,cost_per_1m_input,15.00
claude-opus-4-6,low,cost_per_1m_output,75.00
# Claude sonnet - has reasoning effort
claude-sonnet-4-6,high,has_reasoning_effort,true
claude-sonnet-4-6,high,intel,92
claude-sonnet-4-6,high,speed,60
claude-sonnet-4-6,high,reasoning,95
claude-sonnet-4-6,high,cost-type,subscription
claude-sonnet-4-6,high,context_window,200000
claude-sonnet-4-6,high,cost_per_1m_input,3.00
claude-sonnet-4-6,high,cost_per_1m_output,15.00
claude-sonnet-4-6,medium,has_reasoning_effort,true
claude-sonnet-4-6,medium,intel,88
claude-sonnet-4-6,medium,speed,85
claude-sonnet-4-6,medium,reasoning,88
claude-sonnet-4-6,medium,hallucination,10
claude-sonnet-4-6,medium,cost-type,subscription
claude-sonnet-4-6,medium,context_window,200000
claude-sonnet-4-6,medium,cost_per_1m_input,3.00
claude-sonnet-4-6,medium,cost_per_1m_output,15.00
claude-sonnet-4-6,low,has_reasoning_effort,true
claude-sonnet-4-6,low,intel,83
claude-sonnet-4-6,low,speed,95
claude-sonnet-4-6,low,reasoning,78
claude-sonnet-4-6,low,cost-type,subscription
claude-sonnet-4-6,low,context_window,200000
claude-sonnet-4-6,low,cost_per_1m_input,3.00
claude-sonnet-4-6,low,cost_per_1m_output,15.00
# Claude haiku - no reasoning effort
claude-haiku-4-5,,has_reasoning_effort,false
claude-haiku-4-5,,intel,75
claude-haiku-4-5,,speed,95
claude-haiku-4-5,,cost-type,subscription
claude-haiku-4-5,,context_window,200000
claude-haiku-4-5,,hallucination,15
claude-haiku-4-5,,reasoning,70
claude-haiku-4-5,,cost_per_1m_input,0.25
claude-haiku-4-5,,cost_per_1m_output,1.25
# OpenAI o3 - has reasoning effort
o3,high,has_reasoning_effort,true
o3,high,intel,96
o3,high,speed,30
o3,high,reasoning,99
o3,high,cost-type,api-creds
o3,high,context_window,200000
o3,high,cost_per_1m_input,10.00
o3,high,cost_per_1m_output,40.00
o3,medium,has_reasoning_effort,true
o3,medium,intel,92
o3,medium,speed,50
o3,medium,reasoning,95
o3,medium,hallucination,8
o3,medium,cost-type,api-creds
o3,medium,context_window,200000
o3,medium,cost_per_1m_input,10.00
o3,medium,cost_per_1m_output,40.00
o3,low,has_reasoning_effort,true
o3,low,intel,85
o3,low,speed,70
o3,low,reasoning,85
o3,low,cost-type,api-creds
o3,low,context_window,200000
o3,low,cost_per_1m_input,10.00
o3,low,cost_per_1m_output,40.00
# OpenAI o3-mini - has reasoning effort
o3-mini,high,has_reasoning_effort,true
o3-mini,high,intel,90
o3-mini,high,speed,50
o3-mini,high,reasoning,95
o3-mini,high,cost-type,api-creds
o3-mini,high,context_window,200000
o3-mini,high,cost_per_1m_input,1.10
o3-mini,high,cost_per_1m_output,4.40
o3-mini,medium,has_reasoning_effort,true
o3-mini,medium,intel,85
o3-mini,medium,speed,70
o3-mini,medium,reasoning,90
o3-mini,medium,hallucination,10
o3-mini,medium,cost-type,api-creds
o3-mini,medium,context_window,200000
o3-mini,medium,cost_per_1m_input,1.10
o3-mini,medium,cost_per_1m_output,4.40
o3-mini,low,has_reasoning_effort,true
o3-mini,low,intel,80
o3-mini,low,speed,85
o3-mini,low,reasoning,82
o3-mini,low,cost-type,api-creds
o3-mini,low,context_window,200000
o3-mini,low,cost_per_1m_input,1.10
o3-mini,low,cost_per_1m_output,4.40
# OpenAI o4-mini - has reasoning effort
o4-mini,high,has_reasoning_effort,true
o4-mini,high,intel,88
o4-mini,high,speed,55
o4-mini,high,reasoning,93
o4-mini,high,cost-type,api-creds
o4-mini,high,context_window,200000
o4-mini,high,cost_per_1m_input,1.10
o4-mini,high,cost_per_1m_output,4.40
o4-mini,medium,has_reasoning_effort,true
o4-mini,medium,intel,83
o4-mini,medium,speed,75
o4-mini,medium,reasoning,88
o4-mini,medium,hallucination,11
o4-mini,medium,cost-type,api-creds
o4-mini,medium,context_window,200000
o4-mini,medium,cost_per_1m_input,1.10
o4-mini,medium,cost_per_1m_output,4.40
o4-mini,low,has_reasoning_effort,true
o4-mini,low,intel,78
o4-mini,low,speed,90
o4-mini,low,reasoning,80
o4-mini,low,cost-type,api-creds
o4-mini,low,context_window,200000
o4-mini,low,cost_per_1m_input,1.10
o4-mini,low,cost_per_1m_output,4.40
# OpenAI gpt-4o - no reasoning effort
gpt-4o,,has_reasoning_effort,false
gpt-4o,,intel,85
gpt-4o,,speed,80
gpt-4o,,cost-type,api-creds
gpt-4o,,context_window,128000
gpt-4o,,hallucination,12
gpt-4o,,reasoning,80
gpt-4o,,cost_per_1m_input,2.50
gpt-4o,,cost_per_1m_output,10.00
gpt-4o-mini,,has_reasoning_effort,false
gpt-4o-mini,,intel,80
gpt-4o-mini,,speed,90
gpt-4o-mini,,cost-type,api-creds
gpt-4o-mini,,context_window,128000
gpt-4o-mini,,hallucination,14
gpt-4o-mini,,reasoning,75
gpt-4o-mini,,cost_per_1m_input,0.15
gpt-4o-mini,,cost_per_1m_output,0.60
# OpenCode Go - no reasoning effort
deepseek-v4-pro,,has_reasoning_effort,false
deepseek-v4-pro,,intel,86
deepseek-v4-pro,,speed,75
deepseek-v4-pro,,cost-type,subscription
deepseek-v4-pro,,context_window,128000
deepseek-v4-pro,,hallucination,10
deepseek-v4-pro,,reasoning,88
deepseek-v4-pro,,cost_per_1m_input,1.74
deepseek-v4-pro,,cost_per_1m_output,3.48
deepseek-v4-flash,,has_reasoning_effort,false
deepseek-v4-flash,,intel,80
deepseek-v4-flash,,speed,95
deepseek-v4-flash,,cost-type,subscription
deepseek-v4-flash,,context_window,128000
deepseek-v4-flash,,hallucination,14
deepseek-v4-flash,,reasoning,78
deepseek-v4-flash,,cost_per_1m_input,0.14
deepseek-v4-flash,,cost_per_1m_output,0.28
glm-5.2,,has_reasoning_effort,false
glm-5.2,,intel,85
glm-5.2,,speed,80
glm-5.2,,cost-type,subscription
glm-5.2,,context_window,128000
glm-5.2,,hallucination,12
glm-5.2,,reasoning,82
glm-5.2,,cost_per_1m_input,1.40
glm-5.2,,cost_per_1m_output,4.40
kimi-k2.7-code,,has_reasoning_effort,false
kimi-k2.7-code,,intel,84
kimi-k2.7-code,,speed,85
kimi-k2.7-code,,cost-type,subscription
